month,brand,1300cc,1600cc,1800cc,2000cc,gt2000cc,elec
1,ALFA ROMEO,0,0,0,0,1,0
1,AUDI,,2,0,14,0,0
1,BENTLEY,0,0,,0,,0
1,BMW,1,45,0,586,64,0
1,CADILLAC,0,0,0,0,1,0
1,CHERY,0,,0,1,0,0
1,CHEVROLET,,103,59,80,501,0
1,FERRARI,0,0,0,0,2,0
1,FIAT,0,,,0,,0
1,FORD,73,525,0,40,2503,0
1,HONDA,333,7500,3504,1467,232,0
1,HYUNDAI,,2,29,,57,0
1,ISUZU,0,0,0,1747,2509,0
1,JAGUAR,0,0,0,3,3,0
1,KIA,,,,0,1,0
1,LAMBORGHINI,0,0,0,0,2,0
1,LAND ROVER,0,0,0,0,4,0
1,LEXUS,,0,1,6,113,0
1,MASERATI,0,,0,0,2,0
1,MAZDA,1306,839,0,1131,602,0
1,MERCEDES BENZ,0,161,46,372,605,0
1,MG,0,567,36,0,0,0
1,MINI COOPER,0,55,0,64,0,0
1,MITSUBISHI,1244,0,6,21,4658,0
1,NISSAN,1542,572,50,573,549,0
1,PEUGEOT,0,1,0,0,0,0
1,PORSCHE,0,0,0,7,53,0
1,PROTON,0,15,0,0,0,0
1,RANGE ROVER,0,0,0,0,4,0
1,ROLLS-ROYCE,0,0,0,0,1,0
1,SUBARU,0,0,0,290,16,0
1,SUZUKI,1557,95,0,0,0,0
1,TATA,0,0,0,0,3,0
1,TOYOTA,4799,6199,1161,550,10327,0
1,VOLKSWAGEN,2,1,0,5,0,0
1,VOLVO,0,25,0,78,8,0
2,ALFA ROMEO,0,0,0,0,1,0
2,AUDI,0,0,0,10,0,0
2,BMW,0,60,0,689,52,0
2,CHEVROLET,0,76,62,96,702,0
2,FERRARI,0,0,0,0,5,0
2,FIAT,0,0,0,0,1,0
2,FORD,63,564,0,45,2623,0
2,HONDA,272,7771,2966,1292,276,0
2,HYUNDAI,0,2,62,1,64,0
2,ISUZU,0,0,0,2604,1874,0
2,JAGUAR,0,0,0,1,3,0
2,JEEP,0,0,0,0,3,0
2,KIA,0,7,0,0,2,0
2,LAMBORGHINI,0,0,0,0,5,0
2,LAND ROVER,0,0,0,0,5,0
2,LEXUS,0,0,1,4,87,0
2,MASERATI,0,0,0,0,1,0
2,MAZDA,1342,849,0,1246,621,0
2,MERCEDES BENZ,0,193,42,475,672,0
2,MG,0,573,49,0,0,0
2,MINI COOPER,1,58,0,61,0,0
2,MITSUBISHI,1354,0,5,21,4471,0
2,MITSUOKA,0,0,0,2,1,0
2,NISSAN,1611,580,77,864,642,0
2,PEUGEOT,0,17,0,1,0,0
2,PORSCHE,0,0,0,5,42,0
2,PROTON,0,14,0,0,0,0
2,RANGE ROVER,0,0,0,0,5,0
2,ROLLS-ROYCE,0,0,0,0,2,0
2,SKODA,0,1,0,0,0,0
2,SSANGYONG,0,0,0,3,0,0
2,SUBARU,0,0,0,276,6,0
2,SUZUKI,1488,96,0,1,0,0
2,TATA,0,0,0,0,6,0
2,TOYOTA,4247,4110,816,481,9087,0
2,VOLKSWAGEN,1,1,0,4,0,0
2,VOLVO,0,28,0,65,14,0
3,ALFA ROMEO,0,0,1,0,0,0
3,ASTON MARTIN,0,0,0,0,2,0
3,AUDI,0,0,0,15,1,0
3,BENTLEY,0,0,0,0,4,0
3,BMW,0,55,0,658,55,0
3,CHEVROLET,0,66,43,92,739,0
3,DAIHATSU,3,0,0,0,0,0
3,FERRARI,0,0,0,0,11,0
3,FORD,61,480,0,38,2668,0
3,HONDA,234,6846,2249,970,226,0
3,HYUNDAI,0,2,50,7,77,0
3,ISUZU,0,0,0,3340,1264,0
3,JEEP,0,0,0,1,2,0
3,KIA,1,6,0,2,1,0
3,LAND ROVER,0,0,0,0,4,0
3,LEXUS,0,0,0,14,71,0
3,MAZDA,1435,911,0,1309,532,0
3,MERCEDES BENZ,0,174,41,554,650,0
3,MG,0,576,30,0,0,0
3,MINI COOPER,1,33,0,78,0,0
3,MITSUBISHI,1443,0,1,22,4128,0
3,NISSAN,1652,561,64,739,639,0
3,PEUGEOT,0,5,0,0,0,0
3,PORSCHE,0,0,0,17,42,0
3,PROTON,0,13,0,0,0,0
3,RANGE ROVER,0,0,0,1,8,0
3,ROLLS-ROYCE,0,0,0,0,2,0
3,SUBARU,0,1,0,298,7,0
3,SUZUKI,1792,82,0,0,0,0
3,TATA,0,0,0,0,9,0
3,TOYOTA,3669,2945,1088,470,8170,0
3,VOLKSWAGEN,0,2,0,1,0,0
3,VOLVO,0,21,0,65,4,0
4,ASTON MARTIN,0,0,0,0,1,0
4,AUDI,0,0,0,7,0,0
4,BENTLEY,0,0,0,0,1,0
4,BMW,1,39,0,443,44,0
4,CHEVROLET,0,38,41,39,348,0
4,CITROEN,0,1,0,0,0,0
4,DAIHATSU,1,0,0,0,0,0
4,FERRARI,0,0,0,0,4,0
4,FORD,34,267,1,20,1868,0
4,HONDA,137,5263,1674,612,173,0
4,HYUNDAI,0,3,37,1,17,0
4,ISUZU,0,0,0,2990,774,0
4,JAGUAR,0,0,0,1,1,0
4,KIA,1,2,0,1,1,0
4,LAMBORGHINI,0,0,0,0,1,0
4,LAND ROVER,0,0,0,0,4,0
4,LEXUS,0,0,1,14,60,0
4,MAZDA,1072,663,0,824,350,0
4,MERCEDES BENZ,0,133,29,311,427,0
4,MG,0,466,38,0,0,0
4,MINI COOPER,1,34,0,47,0,0
4,MITSUBISHI,1125,0,3,14,2846,0
4,MITSUOKA,0,0,0,1,0,0
4,NISSAN,1167,334,34,473,387,0
4,PEUGEOT,0,4,0,0,0,0
4,PORSCHE,0,0,0,8,24,0
